Potential,Disk-O2,Ring-O2,Disk-N2,Ring-N2,Disk-Density,Ring-Density,Potential_RHE,ABS
-0.8220,-0.0010400,0.0000441,0.00007680,0.00001100,-4.5123233795e+00,1.3373738527e-01,0.1453,2.2715153694e+00
-0.8210,-0.0010400,0.0000440,0.00007710,0.00001090,-4.5135354996e+00,1.3373738527e-01,0.1463,2.2727274895e+00
-0.8200,-0.0010400,0.0000440,0.00007760,0.00001090,-4.5155553818e+00,1.3373738527e-01,0.1473,2.2747473717e+00
-0.8190,-0.0010400,0.0000439,0.00007850,0.00001090,-4.5191922188e+00,1.3333334029e-01,0.1483,2.2783842087e+00
-0.8180,-0.0010400,0.0000439,0.00007880,0.00001090,-4.5204043388e+00,1.3333334029e-01,0.1493,2.2795963287e+00
-0.8170,-0.0010400,0.0000439,0.00007890,0.00001080,-4.5208082199e+00,1.3373737037e-01,0.1503,2.2800002098e+00
-0.8160,-0.0010400,0.0000438,0.00007910,0.00001080,-4.5216164589e+00,1.3333332539e-01,0.1513,2.2808084488e+00
-0.8150,-0.0010400,0.0000439,0.00007940,0.00001080,-4.5228285789e+00,1.3373737037e-01,0.1523,2.2820205688e+00
-0.8140,-0.0010400,0.0000438,0.00007960,0.00001080,-4.5236363411e+00,1.3333332539e-01,0.1533,2.2828283310e+00
-0.8130,-0.0010400,0.0000437,0.00007990,0.00001080,-4.5248484612e+00,1.3292931020e-01,0.1543,2.2840404510e+00
-0.8120,-0.0010400,0.0000438,0.00008020,0.00001080,-4.5260605812e+00,1.3333332539e-01,0.1553,2.2852525711e+00
-0.8110,-0.0010300,0.0000436,0.00008030,0.00001070,-4.4860610962e+00,1.3292931020e-01,0.1563,2.2452530861e+00
-0.8100,-0.0010400,0.0000436,0.00008060,0.00001070,-4.5276770592e+00,1.3292931020e-01,0.1573,2.2868690491e+00
-0.8090,-0.0010300,0.0000437,0.00008080,0.00001070,-4.4880809784e+00,1.3333335519e-01,0.1583,2.2472729683e+00
-0.8080,-0.0010300,0.0000434,0.00008110,0.00001070,-4.4892930984e+00,1.3212122023e-01,0.1593,2.2484850883e+00
-0.8070,-0.0010400,0.0000435,0.00008140,0.00001070,-4.5309090614e+00,1.3252526522e-01,0.1603,2.2901010513e+00
-0.8060,-0.0010300,0.0000436,0.00008170,0.00001060,-4.4917173386e+00,1.3333334029e-01,0.1613,2.2509093285e+00
-0.8050,-0.0010300,0.0000434,0.00008180,0.00001060,-4.4921216965e+00,1.3252525032e-01,0.1623,2.2513136864e+00
-0.8040,-0.0010400,0.0000435,0.00008210,0.00001060,-4.5337376595e+00,1.3292929530e-01,0.1633,2.2929296494e+00
-0.8030,-0.0010300,0.0000434,0.00008230,0.00001060,-4.4941415787e+00,1.3252525032e-01,0.1643,2.2533335686e+00
-0.8020,-0.0010300,0.0000434,0.00008250,0.00001060,-4.4949498177e+00,1.3252525032e-01,0.1653,2.2541418076e+00
-0.8010,-0.0010400,0.0000434,0.00008280,0.00001060,-4.5365657806e+00,1.3252525032e-01,0.1663,2.2957577705e+00
-0.8000,-0.0010300,0.0000433,0.00008310,0.00001050,-4.4973740578e+00,1.3252525032e-01,0.1673,2.2565660477e+00
-0.7990,-0.0010400,0.0000433,0.00008330,0.00001050,-4.5385861397e+00,1.3252525032e-01,0.1683,2.2977781296e+00
-0.7980,-0.0010300,0.0000432,0.00008350,0.00001050,-4.4989905357e+00,1.3212122023e-01,0.1693,2.2581825256e+00
-0.7970,-0.0010300,0.0000432,0.00008370,0.00001050,-4.4997978210e+00,1.3212122023e-01,0.1703,2.2589898109e+00
-0.7960,-0.0010300,0.0000432,0.00008400,0.00001050,-4.5010104179e+00,1.3212122023e-01,0.1713,2.2602024078e+00
-0.7950,-0.0010300,0.0000431,0.00008430,0.00001040,-4.5022220612e+00,1.3212122023e-01,0.1723,2.2614140511e+00
-0.7940,-0.0010300,0.0000431,0.00008460,0.00001040,-4.5034341812e+00,1.3212122023e-01,0.1733,2.2626261711e+00
-0.7930,-0.0010300,0.0000432,0.00008480,0.00001040,-4.5042424202e+00,1.3252526522e-01,0.1743,2.2634344101e+00
-0.7920,-0.0010300,0.0000430,0.00008490,0.00001040,-4.5046463013e+00,1.3171717525e-01,0.1753,2.2638382912e+00
-0.7910,-0.0010300,0.0000431,0.00008520,0.00001040,-4.5058584213e+00,1.3212122023e-01,0.1763,2.2650504112e+00
-0.7900,-0.0010300,0.0000431,0.00008540,0.00001040,-4.5066666603e+00,1.3212122023e-01,0.1773,2.2658586502e+00
-0.7890,-0.0010300,0.0000430,0.00008550,0.00001030,-4.5070705414e+00,1.3212122023e-01,0.1783,2.2662625313e+00
-0.7880,-0.0010300,0.0000430,0.00008570,0.00001030,-4.5078787804e+00,1.3212122023e-01,0.1793,2.2670707703e+00
-0.7870,-0.0010300,0.0000430,0.00008600,0.00001030,-4.5090909004e+00,1.3212122023e-01,0.1803,2.2682828903e+00
-0.7860,-0.0010300,0.0000430,0.00008610,0.00001030,-4.5094947815e+00,1.3212122023e-01,0.1813,2.2686867714e+00
-0.7850,-0.0010200,0.0000429,0.00008630,0.00001030,-4.4698987007e+00,1.3171717525e-01,0.1823,2.2290906906e+00
-0.7840,-0.0010300,0.0000429,0.00008650,0.00001030,-4.5111112595e+00,1.3171717525e-01,0.1833,2.2703032494e+00
-0.7830,-0.0010300,0.0000428,0.00008670,0.00001030,-4.5119190216e+00,1.3131313026e-01,0.1843,2.2711110115e+00
-0.7820,-0.0010300,0.0000428,0.00008680,0.00001030,-4.5123233795e+00,1.3131313026e-01,0.1853,2.2715153694e+00
-0.7810,-0.0010300,0.0000428,0.00008710,0.00001020,-4.5135354996e+00,1.3171716034e-01,0.1863,2.2727274895e+00
-0.7800,-0.0010300,0.0000427,0.00008730,0.00001020,-4.5143432617e+00,1.3131313026e-01,0.1873,2.2735352516e+00
-0.7790,-0.0010300,0.0000427,0.00008730,0.00001020,-4.5143432617e+00,1.3131313026e-01,0.1883,2.2735352516e+00
-0.7780,-0.0010200,0.0000427,0.00008740,0.00001020,-4.4743432999e+00,1.3131313026e-01,0.1893,2.2335352898e+00
-0.7770,-0.0010200,0.0000427,0.00008760,0.00001020,-4.4751510620e+00,1.3131313026e-01,0.1903,2.2343430519e+00
-0.7760,-0.0010200,0.0000426,0.00008770,0.00001020,-4.4755554199e+00,1.3090908527e-01,0.1913,2.2347474098e+00
-0.7750,-0.0010200,0.0000427,0.00008790,0.00001020,-4.4763631821e+00,1.3131313026e-01,0.1923,2.2355551720e+00
-0.7740,-0.0010200,0.0000426,0.00008820,0.00001020,-4.4775753021e+00,1.3090908527e-01,0.1933,2.2367672920e+00
-0.7730,-0.0010200,0.0000425,0.00008820,0.00001020,-4.4775753021e+00,1.3050504029e-01,0.1943,2.2367672920e+00
-0.7720,-0.0010300,0.0000426,0.00008840,0.00001010,-4.5187878609e+00,1.3131313026e-01,0.1953,2.2779798508e+00
-0.7710,-0.0010200,0.0000426,0.00008860,0.00001010,-4.4791917801e+00,1.3131313026e-01,0.1963,2.2383837700e+00
-0.7700,-0.0010200,0.0000425,0.00008860,0.00001010,-4.4791917801e+00,1.3090908527e-01,0.1973,2.2383837700e+00
-0.7690,-0.0010200,0.0000425,0.00008880,0.00001010,-4.4800000191e+00,1.3090908527e-01,0.1983,2.2391920090e+00
-0.7680,-0.0010200,0.0000425,0.00008900,0.00001010,-4.4808077812e+00,1.3090908527e-01,0.1993,2.2399997711e+00
-0.7670,-0.0010200,0.0000425,0.00008920,0.00001010,-4.4816160202e+00,1.3090908527e-01,0.2003,2.2408080101e+00
-0.7660,-0.0010200,0.0000424,0.00008930,0.00001010,-4.4820199013e+00,1.3050504029e-01,0.2013,2.2412118912e+00
-0.7650,-0.0010300,0.0000425,0.00008940,0.00001010,-4.5228285789e+00,1.3090908527e-01,0.2023,2.2820205688e+00
-0.7640,-0.0010200,0.0000424,0.00008950,0.00001010,-4.4828281403e+00,1.3050504029e-01,0.2033,2.2420201302e+00
-0.7630,-0.0010200,0.0000425,0.00008960,0.00001010,-4.4832320213e+00,1.3090908527e-01,0.2043,2.2424240112e+00
-0.7620,-0.0010200,0.0000424,0.00008980,0.00001000,-4.4840402603e+00,1.3090908527e-01,0.2053,2.2432322502e+00
-0.7610,-0.0010200,0.0000424,0.00009000,0.00001000,-4.4848484993e+00,1.3090908527e-01,0.2063,2.2440404892e+00
-0.7600,-0.0010200,0.0000424,0.00009000,0.00001000,-4.4848484993e+00,1.3090908527e-01,0.2073,2.2440404892e+00
-0.7590,-0.0010200,0.0000423,0.00009010,0.00001000,-4.4852523804e+00,1.3050504029e-01,0.2083,2.2444443703e+00
-0.7580,-0.0010200,0.0000424,0.00009030,0.00000999,-4.4860606194e+00,1.3094949722e-01,0.2093,2.2452526093e+00
-0.7570,-0.0010200,0.0000423,0.00009040,0.00000997,-4.4864645004e+00,1.3062624633e-01,0.2103,2.2456564903e+00
-0.7560,-0.0010200,0.0000422,0.00009050,0.00000997,-4.4868683815e+00,1.3022221625e-01,0.2113,2.2460603714e+00
-0.7550,-0.0010200,0.0000422,0.00009060,0.00000996,-4.4872727394e+00,1.3026262820e-01,0.2123,2.2464647293e+00
-0.7540,-0.0010100,0.0000423,0.00009070,0.00000995,-4.4472727776e+00,1.3070707023e-01,0.2133,2.2064647675e+00
-0.7530,-0.0010200,0.0000422,0.00009070,0.00000995,-4.4876766205e+00,1.3030304015e-01,0.2143,2.2468686104e+00
-0.7520,-0.0010200,0.0000422,0.00009090,0.00000993,-4.4884848595e+00,1.3038383424e-01,0.2153,2.2476768494e+00
-0.7510,-0.0010200,0.0000422,0.00009100,0.00000993,-4.4888887405e+00,1.3038383424e-01,0.2163,2.2480807304e+00
-0.7500,-0.0010200,0.0000422,0.00009100,0.00000992,-4.4888887405e+00,1.3042424619e-01,0.2173,2.2480807304e+00
-0.7490,-0.0010200,0.0000422,0.00009130,0.00000990,-4.4901008606e+00,1.3050505519e-01,0.2183,2.2492928505e+00
-0.7480,-0.0010100,0.0000421,0.00009140,0.00000989,-4.4501008987e+00,1.3014142215e-01,0.2193,2.2092928886e+00
-0.7470,-0.0010200,0.0000422,0.00009140,0.00000989,-4.4905047417e+00,1.3054546714e-01,0.2203,2.2496967316e+00
-0.7460,-0.0010100,0.0000422,0.00009160,0.00000988,-4.4509091377e+00,1.3058586419e-01,0.2213,2.2101011276e+00
-0.7450,-0.0010100,0.0000420,0.00009170,0.00000987,-4.4513130188e+00,1.2981818616e-01,0.2223,2.2105050087e+00
-0.7440,-0.0010200,0.0000421,0.00009180,0.00000987,-4.4921212196e+00,1.3022221625e-01,0.2233,2.2513132095e+00
