Apr. 21, 2024   16:43:04
Linear Sweep Voltammetry
File: 2 cd-900-lsv-80ug-ir.bin
Data Source:  Experiment
Instrument Model:  CHI760E
Header: 
Note: 

Init E (V) = -0.9
Final E (V) = 0.2
Scan Rate (V/s) = 0.01
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
2nd E (V) = 0.234
Sens 2 (A/V) = 1e-4
Comp R (ohm) = 36.8

Results:

Channel 1:
Ep = 0.199V
ip = 4.950e-5A
Ah = 5.596e-3C

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Current 2:

Ep = -0.419V
ip = 7.519e-6A
Ah = 8.849e-5C

Ep = 0.001V
ip = 1.695e-8A
Ah = 2.988e-9C

Potential/V, i1/A, i2/A
-0.572, -9.473e-4, 7.277e-5
-0.571, -9.445e-4, 7.293e-5
-0.570, -9.424e-4, 7.279e-5
-0.569, -9.458e-4, 7.298e-5
-0.568, -9.443e-4, 7.296e-5
-0.567, -9.427e-4, 7.297e-5
-0.566, -9.412e-4, 7.309e-5
-0.565, -9.438e-4, 7.315e-5
-0.564, -9.436e-4, 7.325e-5
-0.563, -9.427e-4, 7.326e-5
-0.562, -9.431e-4, 7.341e-5
-0.561, -9.424e-4, 7.334e-5
-0.560, -9.401e-4, 7.341e-5
-0.559, -9.416e-4, 7.349e-5
-0.558, -9.418e-4, 7.364e-5
-0.557, -9.382e-4, 7.363e-5
-0.556, -9.409e-4, 7.361e-5
-0.555, -9.411e-4, 7.376e-5
-0.554, -9.369e-4, 7.380e-5
-0.553, -9.410e-4, 7.388e-5
-0.552, -9.389e-4, 7.387e-5
-0.551, -9.391e-4, 7.396e-5
-0.550, -9.392e-4, 7.410e-5
-0.549, -9.375e-4, 7.413e-5
-0.548, -9.390e-4, 7.416e-5
-0.547, -9.380e-4, 7.423e-5
-0.546, -9.378e-4, 7.435e-5
-0.545, -9.380e-4, 7.434e-5
-0.544, -9.377e-4, 7.443e-5
-0.543, -9.360e-4, 7.449e-5
-0.542, -9.373e-4, 7.452e-5
-0.541, -9.358e-4, 7.471e-5
-0.540, -9.367e-4, 7.465e-5
-0.539, -9.345e-4, 7.473e-5
-0.538, -9.364e-4, 7.478e-5
-0.537, -9.348e-4, 7.477e-5
-0.536, -9.348e-4, 7.494e-5
-0.535, -9.345e-4, 7.502e-5
-0.534, -9.332e-4, 7.503e-5
-0.533, -9.327e-4, 7.512e-5
-0.532, -9.337e-4, 7.516e-5
-0.531, -9.329e-4, 7.520e-5
-0.530, -9.333e-4, 7.524e-5
-0.529, -9.305e-4, 7.529e-5
-0.528, -9.319e-4, 7.537e-5
-0.527, -9.299e-4, 7.536e-5
-0.526, -9.311e-4, 7.545e-5
-0.525, -9.301e-4, 7.561e-5
-0.524, -9.287e-4, 7.557e-5
-0.523, -9.299e-4, 7.566e-5
-0.522, -9.283e-4, 7.580e-5
-0.521, -9.279e-4, 7.574e-5
-0.520, -9.281e-4, 7.585e-5
-0.519, -9.286e-4, 7.590e-5
-0.518, -9.262e-4, 7.595e-5
-0.517, -9.290e-4, 7.614e-5
-0.516, -9.265e-4, 7.616e-5
-0.515, -9.284e-4, 7.621e-5
-0.514, -9.258e-4, 7.633e-5
-0.513, -9.273e-4, 7.638e-5
-0.512, -9.237e-4, 7.637e-5
-0.511, -9.261e-4, 7.642e-5
-0.510, -9.249e-4, 7.654e-5
-0.509, -9.249e-4, 7.666e-5
-0.508, -9.259e-4, 7.659e-5
-0.507, -9.236e-4, 7.668e-5
-0.506, -9.238e-4, 7.673e-5
-0.505, -9.227e-4, 7.683e-5
-0.504, -9.245e-4, 7.698e-5
-0.503, -9.196e-4, 7.685e-5
-0.502, -9.251e-4, 7.701e-5
-0.501, -9.199e-4, 7.706e-5
-0.500, -9.211e-4, 7.702e-5
-0.499, -9.201e-4, 7.718e-5
-0.498, -9.210e-4, 7.720e-5
-0.497, -9.196e-4, 7.726e-5
-0.496, -9.194e-4, 7.743e-5
-0.495, -9.195e-4, 7.734e-5
-0.494, -9.198e-4, 7.752e-5
-0.493, -9.187e-4, 7.758e-5
-0.492, -9.171e-4, 7.751e-5
-0.491, -9.186e-4, 7.764e-5
-0.490, -9.172e-4, 7.769e-5
-0.489, -9.162e-4, 7.770e-5
-0.488, -9.184e-4, 7.786e-5
-0.487, -9.155e-4, 7.786e-5
-0.486, -9.160e-4, 7.786e-5
-0.485, -9.156e-4, 7.796e-5
-0.484, -9.147e-4, 7.799e-5
-0.483, -9.151e-4, 7.814e-5
-0.482, -9.136e-4, 7.810e-5
-0.481, -9.148e-4, 7.816e-5
-0.480, -9.137e-4, 7.837e-5
-0.479, -9.139e-4, 7.825e-5
-0.478, -9.141e-4, 7.844e-5
-0.477, -9.138e-4, 7.838e-5
-0.476, -9.115e-4, 7.846e-5
-0.475, -9.125e-4, 7.854e-5
-0.474, -9.105e-4, 7.851e-5
-0.473, -9.111e-4, 7.867e-5
-0.472, -9.133e-4, 7.881e-5
-0.471, -9.116e-4, 7.881e-5
-0.470, -9.130e-4, 7.874e-5
-0.469, -9.118e-4, 7.900e-5
-0.468, -9.107e-4, 7.886e-5
-0.467, -9.107e-4, 7.888e-5
-0.466, -9.109e-4, 7.899e-5
-0.465, -9.091e-4, 7.902e-5
-0.464, -9.089e-4, 7.900e-5
-0.463, -9.095e-4, 7.919e-5
-0.462, -9.078e-4, 7.902e-5
-0.461, -9.073e-4, 7.918e-5
-0.460, -9.099e-4, 7.934e-5
-0.459, -9.079e-4, 7.933e-5
-0.458, -9.071e-4, 7.926e-5
-0.457, -9.091e-4, 7.945e-5
-0.456, -9.072e-4, 7.937e-5
-0.455, -9.073e-4, 7.938e-5
-0.454, -9.066e-4, 7.950e-5
-0.453, -9.058e-4, 7.940e-5
-0.452, -9.051e-4, 7.947e-5
-0.451, -9.040e-4, 7.943e-5
-0.450, -9.048e-4, 7.949e-5
-0.449, -9.051e-4, 7.960e-5
-0.448, -9.034e-4, 7.958e-5
-0.447, -9.041e-4, 7.960e-5
-0.446, -9.044e-4, 7.967e-5
-0.445, -9.037e-4, 7.962e-5
-0.444, -9.036e-4, 7.965e-5
-0.443, -9.032e-4, 7.976e-5
-0.442, -9.014e-4, 7.967e-5
-0.441, -9.043e-4, 7.979e-5
-0.440, -8.999e-4, 7.989e-5
-0.439, -9.022e-4, 7.973e-5
-0.438, -9.022e-4, 7.974e-5
-0.437, -9.022e-4, 7.990e-5
-0.436, -9.010e-4, 7.984e-5
-0.435, -9.020e-4, 7.987e-5
-0.434, -9.012e-4, 7.992e-5
-0.433, -9.010e-4, 7.993e-5
-0.432, -9.013e-4, 7.988e-5
-0.431, -9.000e-4, 7.991e-5
-0.430, -9.005e-4, 7.994e-5
-0.429, -9.003e-4, 7.995e-5
-0.428, -9.000e-4, 8.000e-5
-0.427, -8.973e-4, 7.987e-5
-0.426, -8.996e-4, 7.995e-5
-0.425, -9.002e-4, 7.995e-5
-0.424, -8.997e-4, 7.995e-5
-0.423, -8.978e-4, 7.986e-5
-0.422, -9.007e-4, 8.001e-5
-0.421, -8.977e-4, 7.983e-5
-0.420, -8.991e-4, 7.992e-5
-0.419, -8.979e-4, 8.002e-5
-0.418, -8.997e-4, 7.986e-5
-0.417, -8.982e-4, 7.990e-5
-0.416, -8.971e-4, 7.987e-5
-0.415, -8.984e-4, 7.981e-5
-0.414, -8.970e-4, 7.980e-5
-0.413, -8.988e-4, 7.992e-5
-0.412, -8.975e-4, 7.991e-5
-0.411, -8.992e-4, 7.983e-5
-0.410, -8.949e-4, 7.974e-5
-0.409, -8.962e-4, 7.973e-5
-0.408, -8.958e-4, 7.971e-5
-0.407, -8.972e-4, 7.972e-5
-0.406, -8.986e-4, 7.973e-5
-0.405, -8.957e-4, 7.963e-5
-0.404, -8.985e-4, 7.964e-5
-0.403, -8.954e-4, 7.958e-5
-0.402, -8.982e-4, 7.946e-5
-0.401, -8.963e-4, 7.947e-5
-0.400, -8.973e-4, 7.943e-5
-0.399, -8.964e-4, 7.947e-5
-0.398, -8.946e-4, 7.936e-5
-0.397, -8.982e-4, 7.931e-5
-0.396, -8.941e-4, 7.928e-5
-0.395, -8.970e-4, 7.913e-5
-0.394, -8.953e-4, 7.913e-5
-0.393, -8.962e-4, 7.916e-5
-0.392, -8.966e-4, 7.913e-5
-0.391, -8.950e-4, 7.893e-5
-0.390, -8.939e-4, 7.885e-5
-0.389, -8.959e-4, 7.882e-5
-0.388, -8.953e-4, 7.879e-5
-0.387, -8.954e-4, 7.884e-5
-0.386, -8.959e-4, 7.870e-5
-0.385, -8.966e-4, 7.864e-5
-0.384, -8.956e-4, 7.871e-5
-0.383, -8.972e-4, 7.853e-5
-0.382, -8.960e-4, 7.838e-5
-0.381, -8.957e-4, 7.846e-5
-0.380, -8.966e-4, 7.838e-5
-0.379, -8.963e-4, 7.826e-5
-0.378, -8.961e-4, 7.808e-5
-0.377, -8.963e-4, 7.808e-5
-0.376, -8.961e-4, 7.787e-5
-0.375, -8.957e-4, 7.786e-5
-0.374, -8.968e-4, 7.785e-5
-0.373, -8.969e-4, 7.779e-5
-0.372, -8.975e-4, 7.759e-5
-0.371, -8.949e-4, 7.736e-5
-0.370, -8.967e-4, 7.735e-5
-0.369, -8.958e-4, 7.726e-5
-0.368, -8.976e-4, 7.725e-5
-0.367, -8.961e-4, 7.722e-5
-0.366, -9.003e-4, 7.711e-5
-0.365, -8.969e-4, 7.694e-5
-0.364, -8.984e-4, 7.681e-5
-0.363, -8.987e-4, 7.676e-5
-0.362, -8.977e-4, 7.654e-5
-0.361, -8.981e-4, 7.648e-5
-0.360, -8.981e-4, 7.646e-5
-0.359, -8.990e-4, 7.629e-5
-0.358, -8.960e-4, 7.609e-5
-0.357, -8.999e-4, 7.611e-5
-0.356, -8.987e-4, 7.592e-5
-0.355, -8.976e-4, 7.584e-5
-0.354, -8.977e-4, 7.556e-5
-0.353, -8.998e-4, 7.549e-5
-0.352, -8.974e-4, 7.531e-5
-0.351, -8.985e-4, 7.521e-5
-0.350, -8.994e-4, 7.494e-5
-0.349, -8.968e-4, 7.471e-5
-0.348, -9.007e-4, 7.435e-5
-0.347, -8.998e-4, 7.438e-5
-0.346, -9.002e-4, 7.432e-5
-0.345, -9.007e-4, 7.410e-5
-0.344, -8.999e-4, 7.401e-5
-0.343, -8.991e-4, 7.381e-5
-0.342, -9.022e-4, 7.368e-5
-0.341, -9.003e-4, 7.350e-5
-0.340, -9.011e-4, 7.342e-5
-0.339, -9.020e-4, 7.320e-5
-0.338, -9.000e-4, 7.313e-5
-0.337, -9.031e-4, 7.296e-5
-0.336, -9.017e-4, 7.277e-5
-0.335, -9.019e-4, 7.259e-5
-0.334, -9.029e-4, 7.252e-5
-0.333, -9.018e-4, 7.233e-5
-0.332, -9.027e-4, 7.215e-5
-0.331, -9.030e-4, 7.191e-5
-0.330, -9.037e-4, 7.180e-5
-0.329, -9.039e-4, 7.165e-5
-0.328, -9.035e-4, 7.145e-5
-0.327, -9.039e-4, 7.133e-5
-0.326, -9.034e-4, 7.109e-5
-0.325, -9.056e-4, 7.094e-5
-0.324, -9.043e-4, 7.082e-5
-0.323, -9.052e-4, 7.066e-5
-0.322, -9.065e-4, 7.053e-5
-0.321, -9.037e-4, 7.031e-5
-0.320, -9.073e-4, 7.010e-5
-0.319, -9.059e-4, 6.994e-5
-0.318, -9.072e-4, 6.966e-5
-0.317, -9.071e-4, 6.954e-5
-0.316, -9.066e-4, 6.942e-5
-0.315, -9.079e-4, 6.921e-5
-0.314, -9.068e-4, 6.901e-5
-0.313, -9.083e-4, 6.889e-5
-0.312, -9.086e-4, 6.872e-5
-0.311, -9.082e-4, 6.848e-5
-0.310, -9.099e-4, 6.825e-5
